trace_index,strength_rank,lower_j,upper_j,jpair_label,point_count,peak_intensity,total_intensity,color_hex,source_file_count,labeled_on_figure
1,17,0,1,J 0->1,9,2.302423155000e-32,4.663134936066e-32,#30123b,3,no
2,31,1,0,J 1->0,9,5.929128783300e-33,2.566182370979e-32,#341b51,3,no
3,10,1,1,J 1->1,24,3.084036450300e-32,1.000614590607e-31,#372466,4,no
4,20,1,2,J 1->2,44,2.156493753900e-32,1.453149544831e-31,#3a2d79,4,no
5,19,2,1,J 2->1,42,2.267359288000e-32,1.640506421961e-31,#3d358b,5,no
6,6,2,2,J 2->2,72,3.504431292500e-32,2.515715798948e-31,#3f3e9c,5,yes
7,8,2,3,J 2->3,121,3.238918285500e-32,3.579244469691e-31,#4146ac,5,yes
8,14,3,2,J 3->2,102,2.641802080200e-32,2.781978631393e-31,#4451bf,5,no
9,7,3,3,J 3->3,167,3.476907622900e-32,3.821567724934e-31,#4559cb,5,yes
10,12,3,4,J 3->4,200,2.874609440900e-32,3.826241047938e-31,#4661d6,5,no
11,13,4,3,J 4->3,217,2.820608969400e-32,4.319150565577e-31,#4669e0,5,no
12,3,4,4,J 4->4,252,3.856358380900e-32,4.636995945971e-31,#4771e9,5,yes
13,5,4,5,J 4->5,417,3.604955018500e-32,6.734685435117e-31,#4778f0,5,yes
14,15,5,4,J 5->4,313,2.556465110000e-32,4.154873350980e-31,#4682f8,5,no
15,9,5,5,J 5->5,513,3.084042717300e-32,5.744091740556e-31,#458afc,5,no
16,1,5,6,J 5->6,551,5.672316614600e-32,7.665791759610e-31,#4391fe,5,yes
17,18,6,5,J 6->5,603,2.287861166100e-32,4.519248281021e-31,#4099ff,5,no
18,21,6,6,J 6->6,643,1.867614532300e-32,5.615905456048e-31,#3ba0fd,5,no
19,2,6,7,J 6->7,720,5.057249976100e-32,7.542370059040e-31,#37a8fa,5,yes
20,24,7,6,J 7->6,776,1.507543135000e-32,3.645524732480e-31,#2fb2f4,5,no
21,16,7,7,J 7->7,853,2.550019978400e-32,5.247686571703e-31,#2ab9ee,5,no
22,4,7,8,J 7->8,1169,3.684458558900e-32,6.386176276796e-31,#25c0e7,5,yes
23,25,8,7,J 8->7,1024,1.349860024800e-32,3.394051172887e-31,#20c7df,5,no
24,22,8,8,J 8->8,1385,1.782402876500e-32,4.450438380214e-31,#1ccdd8,5,no
25,11,8,9,J 8->9,1923,3.043934619100e-32,5.617672040669e-31,#1ad4d0,5,no
26,26,9,8,J 9->8,1664,8.842808598300e-33,2.501371997513e-31,#18dbc5,5,no
27,29,9,9,J 9->9,2284,6.737680298900e-33,3.269346688713e-31,#18e0bd,5,no
28,23,9,10,J 9->10,2402,1.629813601100e-32,3.930494436136e-31,#1ae4b6,5,no
29,32,10,9,J 10->9,2566,4.973911130400e-33,1.983595401888e-31,#1fe9af,5,no
30,27,10,10,J 10->10,2663,8.829987040200e-33,2.259236006518e-31,#25eca7,5,no
31,28,10,11,J 10->11,3541,8.764385698900e-33,3.217537827500e-31,#2cf09e,5,no
32,34,11,10,J 11->10,3114,2.229740508500e-33,1.061205947136e-31,#35f394,5,no
33,33,11,11,J 11->11,4134,4.769052624800e-33,1.576789757146e-31,#43f787,5,no
34,30,11,12,J 11->12,4332,6.237624630000e-33,2.048727984385e-31,#4ef97d,5,no
35,38,12,11,J 12->11,4724,1.387666159300e-33,7.675834262893e-32,#59fb73,5,no
36,36,12,12,J 12->12,4977,1.820805750700e-33,1.015895999583e-31,#65fd69,5,no
37,35,12,13,J 12->13,6531,2.208655163400e-33,1.665595319865e-31,#71fe5f,5,no
38,40,13,12,J 13->12,4689,9.222097261000e-34,3.849848437293e-32,#7dff56,5,no
39,39,13,13,J 13->13,6132,9.546658521100e-34,6.640507163068e-32,#8bff4b,5,no
40,37,13,14,J 13->14,7028,1.670785228800e-33,9.494264424872e-32,#96fe44,5,no
41,43,14,13,J 14->13,8058,5.133250862600e-34,2.756569969107e-32,#9ffd3f,5,no
42,41,14,14,J 14->14,9197,8.441095603000e-34,4.227341890084e-32,#a7fc3a,5,no
43,42,14,15,J 14->15,11649,6.092125457400e-34,6.173684649373e-32,#affa37,5,no
44,47,15,14,J 15->14,9017,1.855793993200e-34,1.428389264608e-32,#b7f735,5,no
45,45,15,15,J 15->15,11421,2.113124981800e-34,2.436137643014e-32,#c1f334,5,no
46,44,15,16,J 15->16,12195,3.230655243100e-34,3.290560486913e-32,#c8ef34,5,no
47,49,16,15,J 16->15,12453,9.995744698800e-35,8.874176240187e-33,#d0ea34,5,no
48,48,16,16,J 16->16,13266,1.449464708700e-34,1.359064296862e-32,#d7e535,5,no
49,46,16,17,J 16->17,16814,1.866246491300e-34,1.856887941878e-32,#dde037,5,no
50,52,17,16,J 17->16,14724,4.823646889100e-35,4.415433392064e-33,#e3db38,5,no
51,51,17,17,J 17->17,18670,6.932638919900e-35,7.206713041142e-33,#ebd339,5,no
52,50,17,18,J 17->18,21584,7.360094892700e-35,9.658007480763e-33,#efcd3a,5,no
53,54,18,17,J 18->17,18809,1.994948555700e-35,2.191560874927e-33,#f4c73a,5,no
54,55,18,18,J 18->18,21782,1.982737998000e-35,3.417390008842e-33,#f7c13a,5,no
55,53,18,19,J 18->19,25120,3.680655051800e-35,4.859829874206e-33,#faba39,5,no
56,57,19,18,J 19->18,24291,1.211920925000e-35,9.979901701404e-34,#fcb336,5,no
57,58,19,19,J 19->19,28029,1.207184959900e-35,1.661184957555e-33,#fdac34,5,no
58,56,19,20,J 19->20,30739,1.502116026300e-35,2.155901008699e-33,#fea130,5,no
59,60,20,19,J 20->19,31410,4.397890158900e-36,4.469603562145e-34,#fe992c,5,no
60,61,20,20,J 20->20,34502,3.107762225900e-36,7.000342739366e-34,#fe9029,5,no
61,59,20,21,J 20->21,37564,5.355608215400e-36,9.082531927559e-34,#fc8725,5,no
62,64,21,20,J 21->20,37595,1.062962524900e-36,1.870009662422e-34,#fb7e21,5,no
63,62,21,21,J 21->21,40974,1.445292265400e-36,2.951150284656e-34,#f9751d,5,no
64,63,21,22,J 21->22,46725,1.441189489000e-36,3.984645937467e-34,#f56918,5,no
65,66,22,21,J 22->21,45159,6.205076534700e-37,7.144677688257e-35,#f26014,5,no
66,67,22,22,J 22->22,51465,4.641629217100e-37,1.156706905133e-34,#ef5811,5,no
67,65,22,23,J 22->23,55116,6.451548971300e-37,1.504450630706e-34,#eb500e,5,no
68,69,23,22,J 23->22,54830,1.707288032900e-37,2.489070312386e-35,#e7490c,5,no
69,70,23,23,J 23->23,58646,1.630621451200e-37,4.012432716309e-35,#e2430a,5,no
70,68,23,24,J 23->24,62510,2.999529499800e-37,5.131802683760e-35,#dc3b07,5,no
71,73,24,23,J 24->23,67482,5.971002092000e-38,9.146004588020e-36,#d63506,5,no
72,71,24,24,J 24->24,71794,6.265996968800e-38,1.500167227428e-35,#d02f05,5,no
73,72,24,25,J 24->25,81596,6.235562656800e-38,1.958293517597e-35,#ca2a04,5,no
74,75,25,24,J 25->24,76986,1.348338234200e-38,2.917485806613e-36,#c32503,5,no
75,76,25,25,J 25->25,87648,1.201931725400e-38,5.065521932881e-36,#bc2002,5,no
76,74,25,26,J 25->26,94321,1.448365699700e-38,6.325367090676e-36,#b21a01,5,no
77,79,26,25,J 26->25,92103,3.634452419700e-39,9.173206364865e-37,#a91601,5,no
78,78,26,26,J 26->26,99997,4.329378254200e-39,1.587235641601e-36,#a11201,5,no
79,77,26,27,J 26->27,106569,6.831238363600e-39,1.980188371544e-36,#980e01,5,no
80,80,27,26,J 27->26,113657,1.979357050500e-39,2.916887213679e-37,#8e0a01,5,no
81,82,27,27,J 27->27,124390,9.827343375600e-40,5.127361901301e-37,#850702,5,no
82,81,27,28,J 27->28,130313,1.268896015500e-39,6.341541452534e-37,#7a0403,5,no
